Portifolio 1,Portifolio 2,Portifolio 3,Portifolio 4,Portifolio 5,Portifolio 6,Portifolio 7,Portifolio 8,Portifolio 9,Portifolio 10
10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
8628.669453077828,8766.71398554772,8776.956430766248,11548.536738731797,10134.839775106911,8925.06959009421,9181.958978517174,9470.34302497302,9766.037499982931,9973.60297938424
10437.268461539375,9829.573027824645,9752.712794320056,11973.517755625031,12012.105243406095,10485.04773534385,10396.344391588767,10943.385233012015,9606.324035446703,10556.140722621716
10537.901606886471,9713.03383665886,9520.489006336325,11941.776125564913,12826.008776580558,10529.238754518612,10460.69163921366,10938.597932797373,9934.473158617655,11078.213320782714
10807.524301931497,9844.828692506246,9932.641607740112,12118.889626189995,12938.29336694658,10957.46120822656,10706.415711881107,10823.756087027761,9383.407218135548,10920.772658543981
11063.470357417362,9901.40446308329,9828.087337442588,12045.377615364354,13190.151480787334,10467.34450580643,10221.040697650104,10762.802440623616,8950.31469798825,11311.02067700772
12279.667654756526,10054.665459981821,9861.45142641114,11686.384024191464,13718.996231934783,10947.674794862025,10356.17999698571,11813.384946331582,8943.185164588383,10671.534057623607
12577.041362725224,10077.807106735494,10308.795023626253,13528.616284445054,14130.740665183172,11358.136691094483,11292.83998492672,12666.364994688522,9428.697980577212,10942.811152413087
13483.475801048582,10578.3432350998,10773.95494781114,13249.480865633044,11738.50732200557,11204.929415841152,10673.774358414841,12278.649130240497,9618.24320380609,9861.167426558659
13811.580384256078,11162.186847480998,11330.134749504074,11728.121193145786,11530.713131341709,12290.485128881995,10691.503363923093,11999.086315270099,10464.91154554196,10722.807890938027
13631.868872789248,11517.022941954721,11722.078951030342,9908.462588920156,11126.22064492178,11255.589236227343,10638.946822393136,11060.349776428713,10741.718083087984,10455.78456439303
13889.46325050249,11455.822748766945,11987.510991340921,10830.652567609095,11751.82022928335,12242.64388683478,10670.424125405041,11562.58932922828,11629.003978273955,10089.21430559778
12180.14827176354,11311.441859744771,11936.480437654953,11708.105591239691,12007.969100674125,12082.24810474878,11160.599395060523,12240.94349949489,11261.4626661431,9726.267655691627
11784.533950499263,10915.502312913459,11578.522666626584,10035.244855592215,11206.769250687059,12370.047974898554,11061.147154025944,10890.118977639713,11081.404670610797,9163.709930813937
11524.8338575581,10670.250094650919,11545.258718473833,9522.763151998863,11504.093545794405,11973.64953658549,10784.708725014621,10190.55895583096,10582.822817270713,8899.912506580198
11766.717903190667,11264.655547623837,11312.556420988349,10445.220835757904,11912.562874830743,11858.256747389178,11333.190265600937,11241.85315491816,10022.647520145876,9363.332250666626
11679.899825823737,11255.084577219734,11209.23488497084,10105.857063255176,11705.781304248654,12443.0088884731,11634.73992688973,11617.63506527766,10699.91441870008,9306.99920746429
12031.23877169411,10533.213334231245,10764.896880197335,9860.56912176682,11668.499064859303,12458.262249784448,11341.57274307804,11742.153906362806,10843.228009139255,9154.130211125765
11884.379276625921,10800.865202867428,11113.216565326693,10002.854130716783,11862.607663972976,12909.929747156784,11305.175299727522,11431.02942735189,11036.048884847814,9319.783691249633
11155.63524184879,10126.724168289838,11010.796938758634,9347.955241122168,10999.917211063708,12670.83029548846,11217.509196799143,10438.165529281776,10759.251108338767,9175.019037536485
10810.993124916286,8864.182433141263,10000.455058627687,7018.880510069082,8871.713490947772,12324.965827794224,10687.465341211828,9214.815129257368,10434.881003711487,8183.427658266219
10983.028450117383,9251.633347081553,10030.452970048176,7576.528862041919,8703.775663795011,12020.600049191173,11043.576249846967,9998.593330129876,10759.08173969814,8306.597571935792
11625.74431068263,10061.382546478582,10658.206179437087,8438.947472129905,9935.678177410817,12776.368584205167,11605.422641311117,10914.3637574915,11323.128970270525,9398.312724234604
11326.054440736616,10777.696167592574,10717.586081821373,8877.468681336504,10262.115719650094,13075.679759414366,11950.248171820504,11414.409116122144,11535.330012674449,9589.506978633388
10671.4303123583,11012.571598648978,10623.42613227604,9079.871486871738,10668.375836118086,13209.656690293448,11597.774400263173,11070.634934035883,11892.493192049702,10083.00894227684
10675.517945715541,11619.030972338895,10831.689966803724,8384.91861929694,10889.887548770123,13789.128430171211,11467.14746729081,10760.815508517171,11928.145205344728,10351.159649250154
10557.51677273267,12137.572366205824,11156.972713713147,9252.58529128213,11352.625433139847,14020.49927881182,11944.602785594961,11694.705790918437,12416.537972680233,10465.074160741302
10209.836988378713,11279.138856008058,10159.802742861131,8656.214747511649,10668.791527630125,13876.432268570821,11408.570792581228,10683.76531866371,12368.470817086787,10571.308904963433
9981.950880366252,11402.323251721607,10516.133330324175,8393.241789600923,10559.65502387296,14105.561730681144,11298.291611745966,10675.147483932087,12459.966501422217,10614.940152100235
10035.971092988271,11226.738646353062,9837.77522853128,7608.037897724719,9983.907817567591,13305.645539236066,10828.145075413902,9773.133456579619,11989.866881963675,9658.012713805923
9390.680138287045,10312.333902587812,8964.292495895623,6727.207917981739,9076.702244622315,11711.835868312868,10475.011450942926,8112.70618701085,11291.075279131515,9231.63198637421
9187.675394099146,10064.12424080198,8917.311161361991,6850.623951637408,8974.86551564398,11664.148841136017,10557.773226309899,7887.332622681472,11313.429988994665,9311.671969171
8181.078127326223,9584.812898605449,8506.75897393202,6235.007498373093,7690.742165453353,10808.513806316305,9416.481866842514,7577.303757381033,10890.507116301154,8585.591236652195
9252.571407519936,9722.22382239801,8777.519817077375,6772.512663455106,8428.715821238718,10767.729642501872,10169.07221029917,8777.314193600818,11426.396682033766,9168.485166906332
