Portifolio 1,Portifolio 2,Portifolio 3,Portifolio 4,Portifolio 5,Portifolio 6,Portifolio 7,Portifolio 8,Portifolio 9,Portifolio 10
10000.0,10000.0,10000.0,9999.999999999998,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
9318.404917395037,8425.473898116574,8916.44060126567,10763.049171748482,9613.660379328212,10550.325479472178,8616.583737124236,8489.25020752736,14019.131558956718,8618.46086912919
10493.03133332772,11058.914120626343,10302.104386774668,11259.533345500617,9626.495238949157,10995.921526608621,9307.579186142748,9915.487652596381,15120.506816970032,9708.034725827298
9223.388021557086,10867.700007485391,9520.851008281334,11689.770993396336,9328.346598781822,11991.290935713238,10025.817103614812,9861.664889752215,14094.723337190757,10089.974773114262
9314.516481190718,11304.583246704136,9319.507323224188,11954.375720322147,10140.303692140635,11845.38426975047,10035.998398256388,10868.060724675264,14991.764799046052,10277.696827393132
8677.262567784559,10340.65581609676,10043.334384920583,10866.193304900367,10270.453094197152,12165.62855134851,9585.266597902946,10020.582973798482,15547.620970386011,9753.327438351844
8625.617968996994,11244.813685125298,8830.224786280578,10433.301593172391,10129.35462273126,11897.24026236872,10287.523044562997,10467.687968252476,14613.673262140413,10217.800575045276
7738.355893099494,11497.956090306423,9073.528712857535,13435.44990893084,11228.97843620825,12393.666604279455,11008.676724091965,11354.200021700559,17215.684220678344,10361.099223568785
7506.105439697987,12306.655865267136,8812.37123482941,12777.121540381131,10940.721154150138,13738.112553433653,11626.810005077477,11989.598254293996,17062.653570439703,10396.202318678805
8050.813924060822,13084.642396487561,9005.116108923366,11229.26176689156,10824.345451978994,13866.7899274164,12976.398533975462,12790.661741866486,15231.91595820415,10406.475517262712
8795.225622314996,12911.346932776263,8340.154736983815,10027.477473243285,11427.693121947696,13003.316365128829,13342.893222913433,12283.588370914948,11096.888058134165,10238.127447139675
9236.812739452163,13765.330180780757,8042.132154666314,11068.19962154435,11786.853785871928,12047.653696020356,13660.128693793953,13137.042584771854,12231.835941995798,10927.72935205043
9365.991050977955,13593.958284870261,8864.005514763207,11949.906910662716,11778.526172922011,10604.658866755868,12505.785948598976,12975.79465659823,12951.02906189384,10363.394760322955
8567.697321311582,13544.662925069872,8878.421156709266,10545.948064291035,12342.707494450004,9725.78172239197,13165.667722403467,12972.521837873186,10988.440587438588,9882.648110983042
8507.980742310214,12789.630642718479,8626.709150835002,9990.952654751105,11351.090074987558,9687.24243175626,12225.465573841573,12603.578811230034,10842.398340064585,9544.591905620497
8823.028112182055,13419.704861838947,9226.203543635766,10999.99344541474,11103.159370497371,10851.460105757178,12838.223822969425,11975.6567413579,12516.7808553939,10411.847421593491
9523.911714542513,14108.701841214779,9552.9375897244,10941.880606320554,11782.299298626029,11095.605473457199,13120.717497513542,12975.721125488655,12015.342191652566,10368.998825082685
9129.514546316881,13422.084829565569,9435.323964155055,10587.759696405681,11026.992649410962,11272.969313371164,12497.289014836724,12659.092178048571,11571.827349068153,9844.574312879975
9385.281525089775,13737.502926171743,9230.354891248913,10847.195354271376,10902.399155698437,10589.283076661763,13254.01031569304,12364.493471370806,11406.454322750507,10133.229351566644
8699.629748415588,13322.163352123498,8630.490689077631,10991.705387047043,10985.327587874388,10290.366411850997,12583.073677140852,13601.240752003268,11404.58346178934,9832.964071708033
8069.078391638521,11657.469678604133,8438.15695694925,9716.642175263123,10715.532272293472,9284.227919812936,11648.655905608457,12099.291162724605,9184.120969323887,8233.259591045904
8261.777650511178,11214.1839447234,8992.746135911657,10272.298423572582,10027.151886955166,9359.387117312004,11031.92620305827,11357.687551265562,10133.702417779712,8307.7119437178
8826.45623639806,12545.978933760141,9739.283813804526,10876.320785789547,11075.137262266058,10374.976124019735,11548.9193501642,12309.55754945198,10950.1529057419,8938.48864186832
9030.30115885879,13243.926411896071,9456.051014524814,11495.001414823006,10358.388783958133,10239.679419485046,12009.344841390506,12514.440963897503,11298.779503397698,9732.391934841178
9202.166948763752,13932.931432697325,9381.007623818454,11783.391681471863,10324.966284085358,10620.444464516431,12556.621214411094,12792.980942183724,11734.629339954297,9902.63673119482
